survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_imputed
1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True,36.0
0,3,male,61.0,0,0,6.2375,S,Third,man,True,,Southampton,no,True,61.0
1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True,36.0
1,3,female,31.0,1,1,20.525,S,Third,woman,False,,Southampton,yes,False,31.0
1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,16.0
1,3,female,,2,0,23.25,Q,Third,woman,False,,Queenstown,yes,False,19.065
0,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True,45.5
0,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False,38.0
0,3,male,16.0,2,0,18.0,S,Third,man,True,,Southampton,no,False,16.0
1,1,female,,1,0,133.65,S,First,woman,False,,Southampton,yes,False,34.89554285714286
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,26.959105530090824
0,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False,29.0
1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True,41.0
1,3,male,45.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,45.0
0,1,male,45.0,0,0,35.5,S,First,man,True,,Southampton,no,True,45.0
1,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,2.0
1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,24.0
0,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,28.0
0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,25.0
0,2,male,36.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,36.0
1,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True,24.0
1,2,female,40.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,40.0
1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False,24.59333333333333
1,3,male,3.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False,3.0
0,3,male,42.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,42.0
0,3,male,23.0,0,0,9.225,S,Third,man,True,,Southampton,no,True,23.0
0,1,male,,0,0,35.0,S,First,man,True,C,Southampton,no,True,53.06399999999999
0,3,male,15.0,1,1,7.2292,C,Third,child,False,,Cherbourg,no,False,15.0
0,3,male,25.0,1,0,17.8,S,Third,man,True,,Southampton,no,False,25.0
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,36.79219047619047
0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,28.0
1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,22.0
0,2,female,38.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,38.0
1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,19.098
1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,19.098
0,3,male,40.0,1,4,27.9,S,Third,man,True,,Southampton,no,False,40.0
0,2,male,29.0,1,0,27.7208,C,Second,man,True,,Cherbourg,no,False,29.0
0,3,female,45.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False,45.0
0,3,male,35.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,35.0
0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,37.98847619047619
0,3,male,30.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,30.0
1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False,60.0
1,3,female,,0,0,7.2292,C,Third,woman,False,,Cherbourg,yes,True,15.02
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,18.328000000000003
1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True,24.0
1,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False,25.0
0,3,male,18.0,1,0,6.4958,S,Third,man,True,,Southampton,no,False,18.0
0,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,19.0
0,1,male,22.0,0,0,135.6333,C,First,man,True,,Cherbourg,no,True,22.0
0,3,female,3.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,3.0
1,1,female,,1,0,82.1708,C,First,woman,False,,Cherbourg,yes,False,37.22666666666667
1,3,female,22.0,0,0,7.25,S,Third,woman,False,,Southampton,yes,True,22.0
0,1,male,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False,27.0
0,3,male,20.0,0,0,4.0125,C,Third,man,True,,Cherbourg,no,True,20.0
0,3,male,19.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,19.0
1,1,female,42.0,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True,42.0
1,3,female,1.0,0,2,15.7417,C,Third,child,False,,Cherbourg,yes,False,1.0
0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,32.0
1,1,female,35.0,1,0,52.0,S,First,woman,False,,Southampton,yes,False,35.0
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,26.959105530090824
0,2,male,18.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,18.0
0,3,male,1.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,1.0
1,2,female,36.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,36.0
0,3,male,,0,0,7.7292,Q,Third,man,True,,Queenstown,no,True,31.145857142857142
1,2,female,17.0,0,0,12.0,C,Second,woman,False,,Cherbourg,yes,True,17.0
1,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False,36.0
1,3,male,21.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,21.0
0,3,male,28.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,28.0
1,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,23.0
1,3,female,24.0,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False,24.0
0,3,male,22.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True,22.0
0,3,female,31.0,0,0,7.8542,S,Third,woman,False,,Southampton,no,True,31.0
0,2,male,46.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,46.0
0,2,male,23.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,23.0
1,2,female,28.0,0,0,12.65,S,Second,woman,False,,Southampton,yes,True,28.0
1,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,39.0
0,3,male,26.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,26.0
0,3,female,21.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,21.0
0,3,male,28.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,28.0
0,3,female,20.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True,20.0
0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,34.0
0,3,male,51.0,0,0,7.75,S,Third,man,True,,Southampton,no,True,51.0
1,2,male,3.0,1,1,18.75,S,Second,child,False,,Southampton,yes,False,3.0
0,3,male,21.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,21.0
0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,7.524190476190478
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,26.959105530090824
0,3,male,,0,0,6.8583,Q,Third,man,True,,Queenstown,no,True,30.5272380952381
1,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False,33.0
0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,36.97476334776336
1,3,male,44.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,44.0
0,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True,27.197172046670772
1,2,female,34.0,1,1,32.5,S,Second,woman,False,,Southampton,yes,False,34.0
1,2,female,18.0,0,2,13.0,S,Second,woman,False,,Southampton,yes,False,18.0
0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,30.0
0,3,female,10.0,0,2,24.15,S,Third,child,False,,Southampton,no,False,10.0
0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,32.631862137862136
0,3,male,21.0,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True,21.0
0,3,male,29.0,0,0,7.875,S,Third,man,True,,Southampton,no,True,29.0
0,3,female,28.0,1,1,14.4,S,Third,woman,False,,Southampton,no,False,28.0
0,3,male,18.0,1,1,20.2125,S,Third,man,True,,Southampton,no,False,18.0
0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,32.965358946608944
1,2,female,28.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,28.0
1,2,female,19.0,0,0,26.0,S,Second,woman,False,,Southampton,yes,True,19.0
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,47.89965476190478
1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True,32.0
1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,28.0
1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False,24.59333333333333
1,2,female,42.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,42.0
0,3,male,17.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,17.0
0,1,male,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False,50.0
1,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False,14.0
0,3,female,21.0,2,2,34.375,S,Third,woman,False,,Southampton,no,False,21.0
1,2,female,24.0,2,3,18.75,S,Second,woman,False,,Southampton,yes,False,24.0
0,1,male,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False,64.0
0,2,male,31.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,31.0
1,2,female,45.0,1,1,26.25,S,Second,woman,False,,Southampton,yes,False,45.0
0,3,male,20.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,20.0
0,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,no,False,25.0
1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,28.0
1,3,male,,0,0,8.1125,S,Third,man,True,,Southampton,yes,True,25.198920634920636
1,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False,4.0
1,2,female,13.0,0,1,19.5,S,Second,child,False,,Southampton,yes,False,13.0
1,1,male,34.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,34.0
1,3,female,5.0,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,5.0
1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True,52.0
0,2,male,36.0,1,2,27.75,S,Second,man,True,,Southampton,no,False,36.0
0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False,23.86
0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True,30.0
1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False,49.0
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,31.040909621040278
1,3,male,29.0,0,0,7.8958,C,Third,man,True,,Cherbourg,yes,True,29.0
0,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True,65.0
1,1,female,,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False,44.5
1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,50.0
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,47.89965476190478
1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True,48.0
0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,34.0
0,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True,47.0
0,2,male,48.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,48.0
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,31.040909621040278
0,3,male,38.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,38.0
0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,36.97476334776336
0,1,male,56.0,0,0,26.55,S,First,man,True,,Southampton,no,True,56.0
0,3,male,,0,0,7.725,Q,Third,man,True,,Queenstown,no,True,31.145857142857142
1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,0.75
0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,32.965358946608944
0,3,male,38.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,38.0
1,2,female,33.0,1,2,27.75,S,Second,woman,False,,Southampton,yes,False,33.0
1,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True,23.0
0,3,female,22.0,0,0,9.8375,S,Third,woman,False,,Southampton,no,True,22.0
0,1,male,,0,0,52.0,S,First,man,True,A,Southampton,no,True,42.88
0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,34.0
0,3,male,29.0,1,0,7.0458,S,Third,man,True,,Southampton,no,False,29.0
0,3,male,22.0,0,0,7.5208,S,Third,man,True,,Southampton,no,True,22.0
1,3,female,2.0,0,1,12.2875,S,Third,child,False,,Southampton,yes,False,2.0
0,3,male,9.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,9.0
0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,36.97476334776336
0,3,male,50.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,50.0
1,3,female,63.0,0,0,9.5875,S,Third,woman,False,,Southampton,yes,True,63.0
1,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False,25.0
0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,7.524190476190478
1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False,35.0
0,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True,58.0
0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,30.0
1,3,male,9.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False,9.0
0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False,23.86
0,3,male,21.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,21.0
0,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True,55.0
0,1,male,71.0,0,0,49.5042,C,First,man,True,,Cherbourg,no,True,71.0
0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,21.0
0,3,male,,0,0,14.4583,C,Third,man,True,,Cherbourg,no,True,22.805
1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False,54.0
0,3,male,,0,0,15.1,S,Third,man,True,,Southampton,no,True,24.94
0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False,25.0
0,3,male,24.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True,24.0
0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,17.0
0,3,female,21.0,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,21.0
0,3,female,,0,0,7.6292,Q,Third,woman,False,,Queenstown,no,True,23.082857142857144
0,3,female,37.0,0,0,9.5875,S,Third,woman,False,,Southampton,no,True,37.0
1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,16.0
0,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False,18.0
1,2,female,33.0,0,2,26.0,S,Second,woman,False,,Southampton,yes,False,33.0
1,1,male,,0,0,26.55,S,First,man,True,,Southampton,yes,True,41.64933333333333
0,3,male,28.0,0,0,22.525,S,Third,man,True,,Southampton,no,True,28.0
1,3,male,26.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,26.0
1,3,male,29.0,0,0,7.75,Q,Third,man,True,,Queenstown,yes,True,29.0
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,31.040909621040278
1,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,36.0
1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False,54.0
0,3,male,24.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True,24.0
0,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True,47.0
1,2,female,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,34.0
0,3,male,,0,0,24.15,Q,Third,man,True,,Queenstown,no,True,39.25490476190476
1,2,female,36.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,36.0
0,3,male,32.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,32.0
1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True,30.0
0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,22.0
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,36.79219047619047
1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,44.0
0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,27.601666666666667
0,3,male,40.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,40.5
1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,50.0
0,1,male,,0,0,221.7792,S,First,man,True,C,Southampton,no,True,32.98
0,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,39.0
0,2,male,23.0,2,1,11.5,S,Second,man,True,,Southampton,no,False,23.0
1,2,female,2.0,1,1,26.0,S,Second,child,False,,Southampton,yes,False,2.0
0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,27.601666666666667
0,3,male,17.0,1,1,7.2292,C,Third,man,True,,Cherbourg,no,False,17.0
1,3,female,,0,2,22.3583,C,Third,woman,False,,Cherbourg,yes,False,4.925
0,3,female,30.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True,30.0
1,2,female,7.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,7.0
0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True,45.0
1,1,female,30.0,0,0,106.425,C,First,woman,False,,Cherbourg,yes,True,30.0
0,3,male,,0,0,14.5,S,Third,man,True,,Southampton,no,True,24.0125
1,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False,22.0
1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False,36.0
0,3,female,9.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,9.0
0,3,female,11.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,11.0
1,2,male,32.0,1,0,26.0,S,Second,man,True,,Southampton,yes,False,32.0
0,1,male,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,no,False,50.0
0,1,male,64.0,0,0,26.0,S,First,man,True,,Southampton,no,True,64.0
1,2,female,19.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,19.0
1,2,male,,0,0,13.8625,C,Second,man,True,,Cherbourg,yes,True,34.48638655462185
0,3,male,33.0,1,1,20.525,S,Third,man,True,,Southampton,no,False,33.0
1,2,male,8.0,1,1,36.75,S,Second,child,False,,Southampton,yes,False,8.0
1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False,17.0
0,2,male,27.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,27.0
0,3,male,,0,0,7.8292,Q,Third,man,True,,Queenstown,no,True,42.03330952380953
1,3,male,22.0,0,0,7.225,C,Third,man,True,,Cherbourg,yes,True,22.0
1,3,female,22.0,0,0,7.775,S,Third,woman,False,,Southampton,yes,True,22.0
0,1,male,62.0,0,0,26.55,S,First,man,True,,Southampton,no,True,62.0
1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False,48.0
0,1,male,,0,0,227.525,C,First,man,True,,Cherbourg,no,True,32.266666666666666
1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False,39.0
1,3,female,36.0,1,0,17.4,S,Third,woman,False,,Southampton,yes,False,36.0
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,47.89965476190478
0,3,male,40.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,40.0
0,2,male,28.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,28.0
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,31.040909621040278
0,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True,27.197172046670772
0,3,male,24.0,2,0,24.15,S,Third,man,True,,Southampton,no,False,24.0
0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,19.0
0,3,female,29.0,0,4,21.075,S,Third,woman,False,,Southampton,no,False,29.0
0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,27.601666666666667
1,3,male,32.0,0,0,7.8542,S,Third,man,True,,Southampton,yes,True,32.0
1,2,male,62.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,62.0
1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False,53.0
1,1,male,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True,36.0
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,18.328000000000003
0,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16.0
0,3,male,19.0,0,0,14.5,S,Third,man,True,,Southampton,no,True,19.0
1,2,female,34.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,34.0
1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False,39.0
0,3,female,,1,0,14.4583,C,Third,woman,False,,Cherbourg,no,False,23.045
1,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,32.0
1,2,female,25.0,1,1,30.0,S,Second,woman,False,,Southampton,yes,False,25.0
1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False,39.0
0,2,male,54.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,54.0
0,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True,36.0
0,3,male,,0,0,8.7125,C,Third,man,True,,Cherbourg,no,True,30.414
1,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False,18.0
0,2,male,47.0,0,0,15.0,S,Second,man,True,,Southampton,no,True,47.0
1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False,60.0
0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,22.0
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,31.040909621040278
0,3,male,35.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,35.0
1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False,52.0
0,3,male,47.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,47.0
0,3,female,,0,2,7.75,Q,Third,woman,False,,Queenstown,no,False,22.89785714285714
0,2,male,37.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,37.0
0,3,male,36.0,1,1,24.15,S,Third,man,True,,Southampton,no,False,36.0
1,2,female,,0,0,33.0,S,Second,woman,False,,Southampton,yes,True,30.030285714285714
0,3,male,49.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,49.0
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,36.79219047619047
1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False,49.0
1,2,female,24.0,2,1,27.0,S,Second,woman,False,,Southampton,yes,False,24.0
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,26.959105530090824
0,1,male,,0,0,42.4,S,First,man,True,,Southampton,no,True,39.14
0,3,male,44.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,44.0
1,1,male,35.0,0,0,26.55,C,First,man,True,,Cherbourg,yes,True,35.0
0,3,male,36.0,1,0,15.55,S,Third,man,True,,Southampton,no,False,36.0
0,3,male,30.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,30.0
1,1,male,27.0,0,0,30.5,S,First,man,True,,Southampton,yes,True,27.0
1,2,female,22.0,1,2,41.5792,C,Second,woman,False,,Cherbourg,yes,False,22.0
1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True,40.0
0,3,female,39.0,1,5,31.275,S,Third,woman,False,,Southampton,no,False,39.0
0,3,male,,0,0,7.05,S,Third,man,True,,Southampton,no,True,26.68293722943723
1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,19.53
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,47.89965476190478
0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,35.0
1,2,female,24.0,1,2,65.0,S,Second,woman,False,,Southampton,yes,False,24.0
0,3,male,34.0,1,1,14.4,S,Third,man,True,,Southampton,no,False,34.0
0,3,female,26.0,1,0,16.1,S,Third,woman,False,,Southampton,no,False,26.0
1,2,female,4.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,4.0
0,2,male,26.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,26.0
0,3,male,27.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,27.0
1,1,male,42.0,1,0,52.5542,S,First,man,True,D,Southampton,yes,False,42.0
1,3,male,20.0,1,1,15.7417,C,Third,man,True,,Cherbourg,yes,False,20.0
0,3,male,21.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,21.0
0,3,male,21.0,0,0,16.1,S,Third,man,True,,Southampton,no,True,21.0
0,1,male,61.0,0,0,32.3208,S,First,man,True,D,Southampton,no,True,61.0
0,2,male,57.0,0,0,12.35,Q,Second,man,True,,Queenstown,no,True,57.0
1,1,female,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True,21.0
0,3,male,26.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,26.0
0,3,male,,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True,31.145857142857142
1,1,male,80.0,0,0,30.0,S,First,man,True,A,Southampton,yes,True,80.0
0,3,male,51.0,0,0,7.0542,S,Third,man,True,,Southampton,no,True,51.0
1,1,male,32.0,0,0,30.5,C,First,man,True,B,Cherbourg,yes,True,32.0
0,1,male,,0,0,0.0,S,First,man,True,,Southampton,no,True,41.582666666666675
0,3,female,9.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,9.0
1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,28.0
0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,32.0
0,2,male,31.0,1,1,26.25,S,Second,man,True,,Southampton,no,False,31.0
0,3,female,41.0,0,5,39.6875,S,Third,woman,False,,Southampton,no,False,41.0
0,3,male,,1,0,16.1,S,Third,man,True,,Southampton,no,False,27.37
0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,20.0
1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True,24.0
0,3,female,2.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,2.0
1,3,male,,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,28.534000000000002
1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,0.75
1,1,male,48.0,1,0,76.7292,C,First,man,True,D,Cherbourg,yes,False,48.0
0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,19.0
1,1,male,56.0,0,0,35.5,C,First,man,True,A,Cherbourg,yes,True,56.0
0,3,male,,0,0,7.55,S,Third,man,True,,Southampton,no,True,39.29944444444445
1,3,female,23.0,0,0,7.55,S,Third,woman,False,,Southampton,yes,True,23.0
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,26.959105530090824
1,2,female,18.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,18.0
